"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ASM STAGE 
"
"Long Term",,,,
76,"LLOYDS","Lloyds Luxuries Limited","INE0DTQ01028","LTASM - I (13)"
77,"LYPSAGEMS","Lypsa Gems & Jewellery Limited","INE142K01011","LTASM - I (13)"
78,"MACPOWER","Macpower CNC Machines Limited","INE155Z01011","LTASM - IV (16)"
79,"MANINDS","Man Industries (India) Limited","INE993A01026","LTASM - II (14)"
80,"MAXIND","Max India Limited","INE0CG601016","LTASM - I (13)"
81,"MCL","Madhav Copper Limited","INE813V01022","LTASM - I (13)"
82,"MEGASOFT","Megasoft Limited","INE933B01012","LTASM - I (13)"
83,"MICEL","MIC Electronics Limited","INE287C01037","LTASM - I (13)"
84,"MINDTECK","Mindteck (India) Limited","INE110B01017","LTASM - I (13)"
85,"MONARCH","Monarch Networth Capital Limited","INE903D01011","LTASM - I (13)"
86,"MOTILALOFS","Motilal Oswal Financial Services Limited","INE338I01027","LTASM - I (13)"
87,"MSPL","MSP Steel & Power Limited","INE752G01015","LTASM - I (13)"
88,"NEWGEN","Newgen Software Technologies Limited","INE619B01017","LTASM - I (13)"
89,"NORBTEAEXP","Norben Tea & Exports Limited","INE369C01017","LTASM - I (13)"
90,"OBCL","Orissa Bengal Carrier Limited","INE426Z01016","LTASM - I (13)"
91,"OMINFRAL","OM INFRA LIMITED","INE239D01028","LTASM - I (13)"
92,"ORCHPHARMA","Orchid Pharma Limited","INE191A01027","LTASM - I (13)"
93,"PFS","PTC India Financial Services Limited","INE560K01014","LTASM - I (13)"
94,"POWERINDIA","Hitachi Energy India Limited","INE07Y701011","LTASM - I (13)"
95,"PRAKASH","Prakash Industries Limited","INE603A01013","LTASM - I (13)"
96,"PURVA","Puravankara Limited","INE323I01011","LTASM - IV (16)"
97,"PVP","PVP Ventures Limited","INE362A01016","LTASM - I (13)"
98,"QUICKHEAL","Quick Heal Technologies Limited","INE306L01010","LTASM - I (13)"
99,"RAMANEWS","Shree Rama Newsprint Limited","INE278B01020","LTASM - I (13)"
100,"REMSONSIND","Remsons Industries Limited","INE474C01015","LTASM - I (13)"
101,"RKDL","Ravi Kumar Distilleries Limited","INE722J01012","LTASM - I (13)"
102,"RTNPOWER","RattanIndia Power Limited","INE399K01017","LTASM - IV (16)"
103,"SALASAR","Salasar Techno Engineering Limited","INE170V01027","LTASM - I (13)"
104,"SAMPANN","Sampann Utpadan India Limited","INE735M01018","LTASM - I (13)"
105,"SARVESHWAR","Sarveshwar Foods Limited","INE324X01026","LTASM - III (15)"
106,"SCHNEIDER","Schneider Electric Infrastructure Limited","INE839M01018","LTASM - II (14)"
107,"SECL","Salasar Exteriors and Contour Limited","INE00Y701026","LTASM - I (13)"
