"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ESM STAGE 
"
77,"LFIC","Lakshmi Finance & Industrial Corporation Limited","INE850E01012","ESM - I (34)"
78,"LORDSCHLO","Lords Chloro Alkali Limited","INE846D01012","ESM - I (34)"
79,"LOTUSEYE","Lotus Eye Hospital And Institute Limited","INE947I01017","ESM - I (34)"
80,"MADHAV","Madhav Marbles And Granites Limited","INE925C01016","ESM - I (34)"
81,"MALUPAPER","Malu Paper Mills Limited","INE383H01017","ESM - I (34)"
82,"MANAKALUCO","Manaksia Aluminium Company Limited","INE859Q01017","ESM - I (34)"
83,"MANAKCOAT","Manaksia Coated Metals & Industries Limited","INE830Q01018","ESM - I (34)"
84,"MANAKSTEEL","Manaksia Steels Limited","INE824Q01011","ESM - I (34)"
85,"MARSHALL","Marshall Machines Limited","INE00SZ01018","ESM - I (34)"
86,"MCLEODRUSS","Mcleod Russel India Limited","INE942G01012","ESM - I (34)"
87,"MEDICO","Medico Remedies Limited","INE630Y01024","ESM - I (34)"
88,"MELSTAR","Melstar Information Technologies Limited","INE817A01019","ESM I & GSM 0 (36)"
89,"MEP","Mep Infrastructure Developers Limited","INE776I01010","ESM I & GSM 0 (36)"
90,"MITTAL","Mittal Life Style Limited","INE997Y01027","ESM - I (34)"
91,"MKPL","M K Proteins Limited","INE964W01021","ESM - I (34)"
92,"MODTHREAD","Modern Threads (India) Limited","INE794W01014","ESM - II (35)"
93,"MOKSH","Moksh Ornaments Limited","INE514Y01020","ESM - I (34)"
94,"MRO-TEK","Mro-Tek Realty Limited","INE398B01018","ESM - I (34)"
95,"NARMADA","Narmada Agrobase Limited","INE117Z01011","ESM - I (34)"
96,"NILAINFRA","Nila Infrastructures Limited","INE937C01029","ESM - I (34)"
97,"NILASPACES","Nila Spaces Limited","INE00S901012","ESM - II (35)"
98,"NITCO","Nitco Limited","INE858F01012","ESM - II (35)"
99,"NITIRAJ","Nitiraj Engineers Limited","INE439T01012","ESM - I (34)"
100,"NOIDATOLL","Noida Toll Bridge Company Limited","INE781B01015","ESM - I (34)"
101,"OILCOUNTUB","Oil Country Tubular Limited","INE591A01010","ESM - I (34)"
102,"OMAXAUTO","Omax Autos Limited","INE090B01011","ESM - II (35)"
103,"ONELIFECAP","Onelife Capital Advisors Limited","INE912L01015","ESM - I (34)"
104,"ORIENTALTL","Oriental Trimex Limited","INE998H01012","ESM - I (34)"
105,"OSIAHYPER","Osia Hyper Retail Limited","INE06IR01021","ESM - I (34)"
106,"OSWALSEEDS","Shreeoswal Seeds And Chemicals Limited","INE00IK01029","ESM - I (34)"
107,"PALREDTEC","Palred Technologies Limited","INE218G01033","ESM - I (34)"
108,"PARASPETRO","Paras Petrofils Limited","INE162C01024","ESM - II (35)"
109,"PEARLPOLY","Pearl Polymers Limited","INE844A01013","ESM - I (34)"
110,"PIGL","Power & Instrumentation (Gujarat) Limited","INE557Z01018","ESM - II (35)"
111,"PILITA","Pil Italica Lifestyle Limited","INE600A01035","ESM - I (34)"
112,"PRAENG","Prajay Engineers Syndicate Limited","INE505C01016","ESM - II (35)"
113,"PRAKASHSTL","Prakash Steelage Limited","INE696K01024","ESM - I (34)"
114,"PRAXIS","Praxis Home Retail Limited","INE546Y01022","ESM I & GSM 0 (36)"
115,"PRECOT","Precot Limited","INE283A01014","ESM - I (34)"
116,"PRITIKAUTO","Pritika Auto Industries Limited","INE583R01029","ESM - I (34)"
117,"PRUDMOULI","Prudential Sugar Corporation Limited","INE024D01016","ESM - I (34)"
118,"RAJMET","Rajnandini Metal Limited","INE00KV01022","ESM - I (34)"
119,"RAJTV","Raj Television Network Limited","INE952H01027","ESM - II (35)"
120,"RBZJEWEL","Rbz Jewellers Limited","INE0PEQ01016","ESM - I (34)"
121,"REGENCERAM","Regency Ceramics Limited","INE277C01012","ESM II & GSM 0 (37)"
122,"RHFL","Reliance Home Finance Limited","INE217K01011","ESM - II (35)"
123,"RHL","Robust Hotels Limited","INE508K01013","ESM - II (35)"
124,"ROLLT","Rollatainers Limited","INE927A01040","ESM - II (35)"
125,"ROML","Raj Oil Mills Limited","INE294G01026","ESM - I (34)"
126,"RPPINFRA","R.P.P. Infra Projects Limited","INE324L01013","ESM - II (35)"
127,"RPPL","Rajshree Polypack Limited","INE760W01015","ESM - I (34)"
128,"RSSOFTWARE","R. S. Software (India) Limited","INE165B01029","ESM - I (34)"
129,"RVHL","Ravinder Heights Limited","INE09E501017","ESM - I (34)"
130,"S&SPOWER","S&S Power Switchgears Limited","INE902B01017","ESM - II (35)"
131,"SABEVENTS","Sab Events & Governance Now Media Limited","INE860T01019","ESM - II (35)"
132,"SABTNL","Sri Adhikari Brothers Television Network Limited","INE416A01044","ESM - II (35)"
133,"SALSTEEL","S.A.L. Steel Limited","INE658G01014","ESM - II (35)"
134,"SAMBHAAV","Sambhaav Media Limited","INE699B01027","ESM - I (34)"
135,"SANGINITA","Sanginita Chemicals Limited","INE753W01010","ESM - I (34)"
136,"SECURKLOUD","Securekloud Technologies Limited","INE650K01021","ESM - I (34)"
137,"SETCO","Setco Automotive Limited","INE878E01021","ESM - II (35)"
138,"SHANTI","Shanti Overseas (India) Limited","INE933X01016","ESM - I (34)"
139,"SHREERAMA","Shree Rama Multi-Tech Limited","INE879A01019","ESM - I (34)"
140,"SHYAMCENT","Shyam Century Ferrous Limited","INE979R01011","ESM - I (34)"
141,"SHYAMTEL","Shyam Telecom Limited","INE635A01023","ESM II & GSM 0 (37)"
142,"SIMPLEXINF","Simplex Infrastructures Limited","INE059B01024","ESM - I (34)"
143,"SMARTLINK","Smartlink Holdings Limited","INE178C01020","ESM - I (34)"
144,"SOMATEX","Soma Textiles & Industries Limited","INE314C01013","ESM - I (34)"
